iter	RMSE
0	13.68308389
1	13.27898683
2	12.85855558
3	12.43561549
4	12.00936031
5	11.71946911
6	11.35414147
7	10.97127815
8	10.62724684
9	10.2828425
10	9.977823172
11	9.673356399
12	9.384735128
13	9.079128514
14	8.788398579
15	8.523647529
16	8.263944529
17	8.031351266
18	7.777123349
19	7.54111835
20	7.324391156
21	7.084102023
22	6.871277272
23	6.676380911
24	6.48119097
25	6.283749872
26	6.079756451
27	5.920806666
28	5.73771671
29	5.560094762
30	5.383351684
31	5.221257892
32	5.071229338
33	4.917859235
34	4.778946246
35	4.638905457
36	4.498330266
37	4.372979083
38	4.25417085
39	4.117512216
40	3.991408234
41	3.883821366
42	3.778717207
43	3.669420797
44	3.573960162
45	3.488499877
46	3.387253928
47	3.300712784
48	3.202307877
49	3.104874769
50	3.008421916
51	2.925598133
52	2.845005018
53	2.780488003
54	2.710683633
55	2.638818189
56	2.564662843
57	2.49230222
58	2.428796236
59	2.355296661
60	2.288846852
61	2.230011524
62	2.162578666
63	2.105593377
64	2.057093807
65	2.002669304
66	1.955445136
67	1.905866402
68	1.859165954
69	1.813451674
70	1.777778042
71	1.731043243
72	1.68742561
73	1.646260322
74	1.601736364
75	1.559437538
76	1.519297924
77	1.479153949
78	1.441043247
79	1.413545676
80	1.378637055
81	1.348701332
82	1.315142601
83	1.28368742
84	1.253783164
85	1.224909016
86	1.194749982
87	1.168434011
88	1.143776294
89	1.118692279
90	1.095727594
91	1.075837918
92	1.051193966
93	1.029078756
94	1.009085323
95	0.9883511622
96	0.96907254
97	0.9494339699
98	0.930454318
99	0.9121922379
100	0.8943949649
101	0.8776544999
102	0.8626585798
103	0.8495014502
104	0.835320279
105	0.8206450355
106	0.8084322982
107	0.7944897776
108	0.7805725363
109	0.7681776632
110	0.7563280569
111	0.7438555822
112	0.7345262059
113	0.7229081441
114	0.7136624243
115	0.704518878
116	0.6955620475
117	0.6890952233
118	0.6794299789
119	0.6697481933
120	0.6607598586
121	0.6588564268
122	0.6516233145
123	0.6446943251
124	0.636957376
125	0.6290839281
126	0.6217555194
127	0.6174616727
128	0.6104475745
129	0.6027311826
130	0.5961139885
131	0.5925586737
132	0.5862212169
133	0.5805614557
134	0.573802802
135	0.5669780209
136	0.5644752393
137	0.5598597961
138	0.5541693127
139	0.5488772269
140	0.5473895006
141	0.5453690063
142	0.5400333761
143	0.5342749763
144	0.5292360413
145	0.5272398778
146	0.5223371917
147	0.5175247886
148	0.5130633465
149	0.5082464898
150	0.5056162107
151	0.5008752939
152	0.4968539989
153	0.4944500811
154	0.4909321497
155	0.4893535045
156	0.4880971554
157	0.4870472716
158	0.4834528529
159	0.4808069291
160	0.4770646666
161	0.4735188878
162	0.4725819143
163	0.4687492098
164	0.4672231866
165	0.4645011897
166	0.4619879543
167	0.461052697
168	0.4563296867
169	0.4553334247
170	0.4520308094
171	0.4505055614
172	0.4472907252
173	0.4461227537
174	0.4426912314
175	0.4401950936
176	0.4386902343
177	0.436537946
178	0.4346913393
179	0.4336122775
180	0.4328099895
181	0.4317609473
182	0.4297623277
183	0.4285677361
184	0.4276741217
185	0.4249228887
186	0.4241015333
187	0.4229100428
188	0.4218622861
189	0.4209306688
190	0.4204229003
191	0.419431617
192	0.4187785282
193	0.4177028699
194	0.4161102525
195	0.4153990859
196	0.4143252132
197	0.4136918135
198	0.4123223635
199	0.4113771355
200	0.4090053581
201	0.4071958127
202	0.4064559368
203	0.4058810964
204	0.4051468111
205	0.4042986233
206	0.403367235
207	0.402513024
208	0.4019493291
209	0.4006420212
210	0.4001441964
211	0.3993906137
212	0.3987570365
213	0.3970724689
214	0.3964174576
215	0.3958917998
216	0.3955123392
217	0.3935749115
218	0.3930354459
219	0.3897145815
220	0.3891860765
221	0.3879673178
222	0.3864687045
223	0.385833178
224	0.3853480983
225	0.3847982524
226	0.3842621798
227	0.3836984146
228	0.381414073
229	0.3808189586
230	0.380314377
231	0.3798933071
232	0.3779544341
233	0.3775392021
234	0.3754047462
235	0.3749376134
236	0.3741044802
237	0.3737251178
238	0.3719348021
239	0.3715122108
240	0.3702427951
241	0.3698859523
242	0.3679282929
